claim_id,manuscript_section,retained_value,public_raw_field,public_generator,source_kind,gap_note
C01,3,static LP vs subset enumeration residuals 2.908209251e-15/3.072270253e-15/1.499866223e-12,raw/static_exactness.json scenes[].max_relative_residual,gen_tables.py T1_static_exactness.csv,raw_backed,
C02,3.1,16-ray polygon straddles cone; balanced radial deviation 0.9701%,raw/static_scenes.json polygon; raw/static_exactness.json scenes[].polygon_error_soc_pct,gen_tables.py T1; render_figures.py F1,raw_backed,
C03,4.1,box T=20 2.415%; box/stack/pallet 3-scene mean T=20 2.731%; box T=50 1.459%; T=100 0.822%,"raw/reached_ramp.json per_scene_mean_rel_poly, long_box_rel_pct",gen_data.py f3.csv,raw_backed,
C03b,4.1,N12/N20 T=50 scalar 1.307/1.385%,,,archived_report,the N12/N20 T=50 scalar values are reported in the static-LP audit; no raw field shipped (reached_ramp.json:source_status.scalar_T50 = archived_report)
C04,4.1,ramp-rate means 442.16/94.23/24.03/7.49/2.73%,raw/reached_ramp.json per_scene_mean_rel_poly,gen_data.py f3.csv,raw_backed,
C05,4.2,anisotropic max 7.264066/2.980434%; ratios 1.705593/1.520508,"raw/anisotropic.json scenes[].max_rel_error_pct,radius_ratio",gen_tables.py T3; gen_data.py f2.csv,raw_backed,
C05b,4.2,"box S1 24-dir spread 6.07e-10; N12 platform max/median 1.230239%, own LP ratio 1.019349; N20 exact 3D scalar LP 0.071274%","raw/isotropic_controls.json box_s1_sampled_24dir.spread_rel, n12_platform_12dir.*, n20_exact_scalar.rel_error",gen_tables.py T3/T8,raw_backed,three controls kept separate; N12 is an elliptical 3-fold-perturbed 12-contact ring, distinct from the box sample
C06a,5.2,cold/min-norm/LP step-1 norms; n restarts below cold,raw/min_norm_falsification.json multistart,gen_tables.py T9,raw_backed,
C06b,5.2,compliant-stiff convergence slope -0.60 and floor 5.48e-3,,,archived_report,only the report states the log-log slope/floor; no raw slope fit shipped
C07,4.2,compliant-stiff branch 1.36-8.82% below static LP radius,,,archived_report,per-direction compliant ramp values are archived reported values; no raw rerun shipped
C08,4.3,"humanoid max|LP-tip| 4.707e-14; rel(tip,ZMP) 6.7e-16; glide/tip 5.8294; ratio 1.760533","raw/humanoid.json max_abs_lp_minus_tip,max_rel_tip_vs_zmp,glide_over_tipping,radius_ratio",gen_tables.py T4; gen_data.py f4.csv,raw_backed,
C09,4.3,placement field 374/441; reproduction 9.048e-15; 12-dir sample 3.27% R*; ref 3.29% R*,raw/placement_field.json (field); an audit report reproduction/sample numbers,gen_data.py f5.csv,raw_backed,"the 9.048e-15 reproduction and 3.27/3.29% qualifiers are audit report values, not shipped raw fields"
C10,5.1,active-set certificate outside bracket; pooled certificate values,raw/active_set_falsification.json pooled_2scenes,gen_tables.py T10,raw_backed,
C10b,5.1,outside bracket 144/144; mean rel err 0.198-2.979,,,archived_report,the 144/144 count and the 0.198-2.979 range are report aggregates over the raw rows
C11,5.3,support-rectangle mean rel err 54.7/86.5/70.5%; full geometry 0.66/0.66/1.13%,,,archived_report,only the report tabulates the per-scene rectangle/full-geometry errors
C12,7.1,reduced enclosure: per-geometry cover remainder (g/h)R_max*eps 0.004999/0.005095/0.005020; global fallback 0.136111,"raw/certified_regions.json direction_cover.*, cover_remainder, global_fallback",gen_tables.py T5; verify_regions.py,derived_from_raw,cover_remainder and global_fallback are recomputed by verify_regions.py from bundled geometry/parameters
C13,7.2,reduced-not-full-LP gap 6.6893387773934165e-3; inradius overestimate 8.848317192833299e-8,"raw/certified_regions.json per_direction_yaw_gap,reduced_inradius_overestimate",gen_tables.py T5; verify_regions.py,raw_backed,
C14,7.3,witness safe/unsafe/unresolved areas; holdouts; residual 1.25e-12,"raw/certified_regions.json full,reduced,outward,holdouts,witness_max_residual",gen_tables.py T5; gen_data.py f6.csv,raw_backed,"float-computed classifications, not a validated enclosure; holdouts at full producer precision"
C15,7.3,outward interval obligation not established (audit status),,,archived_report,the audit status is a report conclusion; the two numeric inputs are C15b
C15b,7.3,interval-vs-float gap 3.0393465522138285e-12 (max over locked cases); smallest safe margin 2.304220376291022e-5,"raw/certified_regions.json interval_vs_float_gap,smallest_safe_margin",verify_regions.py,derived_from_raw,gap is max over the producer per-case interval_minus_float; margin is min over the producer per-geometry min_safe_margin_over_tau
C16,6.1,continuation n_confirmed/max_rel_branch_confirmed/unconfirmed stats,raw/continuation_events.json summary,gen_tables.py T12,raw_backed,the 5.4e-6..2.99% median 0.51% load-error range and the +623% miss are report values in an audit report/an audit report
C17,6.2,material IFT tangent error 1.26e-2/1.68e-2; consistent tangent vs secant 3-4e-8,,,archived_report,only the report states the tangent-vs-secant/material errors
C18,6.2,exact path derivative not obtained; 1.505e-2 discrepancy,,,archived_report,the path-derivative discrepancy is a report value; the path term is not derived
C19,6.3,first closes confirmed; near-cap slips are grazes (ratios 0.9926/0.9996/0.9916/0.9766),raw/local_events.json events (status/interval),gen_tables.py T6; gen_data.py f7_events.csv,raw_backed,the individual graze ratios 0.9926/0.9996/0.9916/0.9766 are report values
C20,6.4,Z300 phi=15 ramp first 0.6513; collapse 2.7824; macro 2.985,raw/local_events.json (predicted slip); raw/macro_events.json,gen_tables.py T6/T7; gen_data.py f7_macro.csv,raw_backed,the branch max ratio 0.992566 (graze) is a report value in an audit report
C21,5.5,frozen-normal P0/P1 macro predictions per height/angle,raw/macro_bound_falsification.json heights,gen_tables.py T11,raw_backed,"the 18/18 count, +5.2..+1462% range and -6.28% threshold shift are report aggregates in an audit report"
C22,6.4,local != macro; macro overestimate 1.91-20.87x; first-event rate <=0.011% vs macro -3.1..-6.8%,raw/macro_events.json (loads),gen_tables.py T7; gen_data.py f7_macro.csv,archived_report,the 1.91-20.87x and rate-stability ranges are report values
C23,9,primary-theory attribution (CWC/ZMP/non-uniqueness),,CAPTIONS.md; source index,no_numeric,
FIG1-7,12,figure payloads and hashes,raw/*.json -> data/*.csv -> figures/*,gen_data.py; render_figures.py,raw_backed,shipped figure checksums are recorded in MANIFEST.sha256
APP-A,Appendix A,"supporting ledger values (seed misses, scaling, at-cap, micro-creep, etc.)","partly raw/static_exactness.json, raw/anisotropic.json, raw/certified_regions.json",gen_tables.py T1/T3/T5,archived_report,the remaining Appendix-A values are archived reported values; the raw reruns are not shipped
